##Temp./>C,Time/min,Mass/%,Segment
 57.81000,  3.66000, 98.97143,1
 57.84300,  3.67000, 98.97143,1
 57.89400,  3.68000, 98.96190,1
 57.94100,  3.69000, 98.96190,1
 58.00000,  3.70000, 98.96190,1
 58.05500,  3.71000, 98.96190,1
 58.10600,  3.72000, 98.96190,1
 58.16200,  3.73000, 98.96190,1
 58.20000,  3.74000, 98.94286,1
 58.25900,  3.75000, 98.94286,1
 58.30900,  3.76000, 98.93333,1
 58.35400,  3.77000, 98.93333,1
 58.40500,  3.78000, 98.92381,1
 58.46500,  3.79000, 98.92381,1
 58.49600,  3.80000, 98.92381,1
 58.55100,  3.81000, 98.92381,1
 58.58600,  3.82000, 98.91429,1
 58.65200,  3.83000, 98.91429,1
 58.69500,  3.84000, 98.91429,1
 58.76800,  3.85000, 98.91429,1
 58.80200,  3.86000, 98.89524,1
 58.85700,  3.87000, 98.89524,1
 58.90300,  3.88000, 98.89524,1
 58.94600,  3.89000, 98.89524,1
 58.99500,  3.90000, 98.89524,1
 59.05400,  3.91000, 98.88571,1
 59.10900,  3.92000, 98.88571,1
 59.16000,  3.93000, 98.88571,1
 59.20400,  3.94000, 98.88571,1
 59.25000,  3.95000, 98.88571,1
 59.30500,  3.96000, 98.87619,1
 59.35400,  3.97000, 98.86667,1
 59.40400,  3.98000, 98.86667,1
 59.46100,  3.99000, 98.86667,1
 59.49200,  4.00000, 98.85714,1
 59.56500,  4.01000, 98.85714,1
 59.61200,  4.02000, 98.85714,1
 59.67200,  4.03000, 98.85714,1
 59.71200,  4.04000, 98.85714,1
 59.76900,  4.05000, 98.82857,1
 59.81600,  4.06000, 98.82857,1
 59.86700,  4.07000, 98.82857,1
 59.91800,  4.08000, 98.82857,1
 59.96300,  4.09000, 98.82857,1
 60.01500,  4.10000, 98.82857,1
 60.07100,  4.11000, 98.82857,1
 60.11800,  4.12000, 98.82857,1
 60.16900,  4.13000, 98.80952,1
 60.21800,  4.14000, 98.80952,1
 60.27800,  4.15000, 98.80952,1
 60.32100,  4.16000, 98.80952,1
 60.37500,  4.17000, 98.80952,1
 60.41700,  4.18000, 98.80952,1
 60.47200,  4.19000, 98.79048,1
 60.52800,  4.20000, 98.78095,1
 60.56400,  4.21000, 98.78095,1
 60.60500,  4.22000, 98.78095,1
 60.67500,  4.23000, 98.77143,1
 60.71600,  4.24000, 98.77143,1
 60.77000,  4.25000, 98.77143,1
 60.82700,  4.26000, 98.77143,1
 60.86600,  4.27000, 98.76190,1
 60.91800,  4.28000, 98.76190,1
 60.96800,  4.29000, 98.75238,1
 61.02900,  4.30000, 98.75238,1
 61.07400,  4.31000, 98.75238,1
 61.13000,  4.32000, 98.74286,1
 61.17900,  4.33000, 98.74286,1
 61.22200,  4.34000, 98.74286,1
 61.27800,  4.35000, 98.74286,1
 61.32300,  4.36000, 98.71429,1
 61.37500,  4.37000, 98.71429,1
 61.42400,  4.38000, 98.70476,1
 61.48300,  4.39000, 98.70476,1
 61.52600,  4.40000, 98.70476,1
 61.58600,  4.41000, 98.68571,1
 61.63100,  4.42000, 98.68571,1
 61.69000,  4.43000, 98.68571,1
 61.73000,  4.44000, 98.68571,1
 61.76300,  4.45000, 98.68571,1
 61.82900,  4.46000, 98.68571,1
 61.88100,  4.47000, 98.68571,1
 61.92100,  4.48000, 98.68571,1
 61.98900,  4.49000, 98.66667,1
 62.02500,  4.50000, 98.66667,1
 62.09000,  4.51000, 98.66667,1
 62.12200,  4.52000, 98.66667,1
 62.17500,  4.53000, 98.66667,1
 62.22400,  4.54000, 98.64762,1
 62.28400,  4.55000, 98.64762,1
 62.33200,  4.56000, 98.64762,1
 62.36800,  4.57000, 98.63810,1
 62.42600,  4.58000, 98.63810,1
 62.47300,  4.59000, 98.63810,1
 62.52300,  4.60000, 98.62857,1
 62.58200,  4.61000, 98.62857,1
 62.63800,  4.62000, 98.62857,1
 62.69000,  4.63000, 98.62857,1
 62.73100,  4.64000, 98.62857,1
